Id,Height,Weight,FeetSize,Year,Sex
40,157,50,230,3,0
5,158,48,235,3,0
16,155,59,235,4,0
17,163,85,235,3,0
24,160,52,235,3,0
42,160,57,235,3,0
3,168,65,240,3,1
8,168,58,240,4,0
9,163,53,240,3,0
11,160,64,240,3,0
27,165,45,240,3,0
1,164,45,250,4,0
19,167,50,250,3,1
43,168,65,250,3,1
6,165,65,255,3,1
21,170,58,255,3,1
23,170,61,255,3,1
25,166,65,255,3,0
29,163,60,255,3,1
36,158,45,255,3,0
38,170,79,255,3,1
14,170,88,260,3,1
28,176,61,260,3,1
34,171,61,260,3,1
12,178,94,265,3,1
13,171,73,265,3,1
18,174,73,265,3,1
20,172,58,265,4,1
22,171,54,265,3,1
32,178,67,265,3,1
35,173,65,265,3,1
39,173,73,265,3,1
15,173,65,270,3,1
37,186,95,270,3,1
2,173,86,275,4,1
7,174,72,275,3,1
10,176,98,275,3,1
26,185,82,275,3,1
4,170,86,280,3,1
30,175,90,280,3,1
33,183,61,280,3,1
41,176,84,280,3,1
31,182,75,290,3,1
